country,product,rank_shifts
BLM,arms_and_ammunition,-184.5
NRU,umbrellas_and_walking-sticks,-153.33333333333334
VAT,preparations_of_meat_or_fish,-146.9
ESH,metal_tools_and_tableware,-141.5
BLM,photographic_or_cinematographic_goods,-140.5
SHN,man-made_staple_fibres,-138.55555555555554
VUT,cork,-137.0
PCN,headgear,-130.5
VAT,umbrellas_and_walking-sticks,-128.0
AIA,wool,-121.28571428571429
PLW,nickel,-118.66666666666669
FLK,tin,-118.0
ESH,photographic_or_cinematographic_goods,-116.5
ASM,arms_and_ammunition,-111.66666666666669
ASM,umbrellas_and_walking-sticks,-111.21212121212122
VAT,glass_and_glassware,-110.3
CCK,sugar_and_candy,-110.10714285714286
NFK,special_woven_fabrics,-110.0
ASM,trains,-109.5
BVT,diary_products,-109.5
