country,product,hs_code,rank_shifts
guam,arms_and_ammunition,93,-49.71180555555556
saint_helena_ascension_and_tristan_da_cunha,cork,45,-49.0
bouvet_island,miscellaneous_chemical_products,38,-43.36868686868687
american_samoa,leather_and_skins,41,-36.15909090909091
western_sahara,products_of_the_printing_industry,49,-29.8
djibouti,animal_or_vegetable_fats_oils_or_waxes,15,-29.28989898989899
palau,other_vegetable_materials,14,-28.375
pitcairn,flours_starches_and_malts,11,-25.75
yemen,aircraft,88,-25.092929292929295
nauru,fish,3,-24.983838383838386
libya,ships,89,-24.893939393939394
djibouti,inorganic_chemicals,28,-24.258585858585857
guam,pulp_of_wood,47,-23.80128205128205
maldives,aircraft,88,-23.576767676767673
the_bahamas,products_of_the_printing_industry,49,-23.33737373737374
tuvalu,ships,89,-23.16296296296296
oman,art,97,-22.352525252525254
bonaire,animal_products,5,-22.0
eritrea,cereals,10,-21.445454545454545
cabo_verde,trains,86,-21.065656565656568
