country,product,hs_code,rank_shifts
nauru,umbrellas_and_walking-sticks,66,-168.0
american_samoa,arms_and_ammunition,93,-160.3125
tuvalu,pulp_of_wood,47,-68.5
american_samoa,umbrellas_and_walking-sticks,66,-68.0
tuvalu,musical_instruments,92,-57.54081632653062
sao_tome_and_principe,leather_and_skins,41,-54.08187134502924
american_samoa,trains,86,-43.68055555555556
gibraltar,aircraft,88,-41.03888888888889
dominica,silk,50,-40.666666666666664
tonga,other_vegetable_materials,14,-40.12573099415205
british_virgin_islands,live_animals,1,-38.91975308641975
dominica,musical_instruments,92,-37.53737373737374
northern_mariana_islands,inorganic_chemicals,28,-37.388888888888886
sierra_leone,arms_and_ammunition,93,-37.026315789473685
turks_and_caicos_islands,pulp_of_wood,47,-37.0
gibraltar,umbrellas_and_walking-sticks,66,-36.81212121212121
aruba,lac_and_other_vegetable_extracts,13,-35.88080808080808
nauru,albuminoidals_modified_starches_glues_enzymes,35,-35.77272727272727
bhutan,other_vegetable_textile_fibres,53,-35.40909090909091
tonga,knitted_fabrics,60,-34.93888888888889
