country,product,hs_code,rank_shifts
saint_barthélemy,arms_and_ammunition,93,-235.5
saint_barthélemy,photographic_or_cinematographic_goods,37,-180.0
nauru,umbrellas_and_walking-sticks,66,-173.0
american_samoa,arms_and_ammunition,93,-172.828125
norfolk_island,special_woven_fabrics,58,-158.0
western_sahara,articles_of_stone_plaster_cement_etc.,68,-157.0
vatican_city,preparations_of_meat_or_fish,16,-146.22222222222223
cocos_(keeling)_islands,sugar_and_candy,17,-136.76530612244898
saint_helena_ascension_and_tristan_da_cunha,man-made_staple_fibres,55,-128.62345679012347
saint_barthélemy,food_residues_and_animal_feed,23,-108.0
sao_tome_and_principe,leather_and_skins,41,-105.54385964912281
heard_and_mcdonald_islands,rubber,40,-95.0
french_southern_and_antarctic_lands,albuminoidals_modified_starches_glues_enzymes,35,-93.6923076923077
south_georgia_and_south_sandwich_islds.,meat,2,-91.5
french_southern_and_antarctic_lands,art,97,-90.75555555555556
tokelau,explosives,36,-87.0
south_sudan,manufactues_of_plaiting_materials,46,-85.0
saint_barthélemy,other_made_up_textile_articles,63,-84.7
norfolk_island,art,97,-80.22875816993464
christmas_island,man-made_staple_fibres,55,-79.23232323232324
