country,product,hs_code,rank_shifts
oman,art,97,-23.651515151515152
nepal,animal_or_vegetable_fats_oils_or_waxes,15,-19.278787878787877
laos,paper_and_paperboard,48,-18.886868686868688
armenia,food_residues_and_animal_feed,23,-18.359656084656084
eswatini,other,99,-18.266993464052288
armenia,miscellaneous_manufactured_articles,96,-18.203030303030303
qatar,plants,6,-17.244444444444444
tunisia,feathers_and_down,67,-17.132323232323234
laos,glass_and_glassware,70,-15.943434343434344
laos,headgear,65,-15.804040404040403
bahrain,pharmaceutical_products,30,-15.769696969696971
armenia,trains,86,-15.612121212121213
albania,fertilisers,31,-15.16060606060606
cambodia,vegetables,7,-15.066666666666666
armenia,metal_tools_and_tableware,82,-15.028282828282828
cambodia,preparations_of_vegetables_fruit_or_nuts,20,-14.904040404040405
ghana,leather_and_skins,41,-14.67070707070707
equatorial_guinea,cereals,10,-14.564646464646465
armenia,rubber,40,-14.186868686868687
myanmar,other,99,-14.096969696969698
