country,product,hs_code,rank_shifts
oman,art,97,-22.95218855218855
laos,paper_and_paperboard,48,-19.062289562289557
nepal,animal_or_vegetable_fats_oils_or_waxes,15,-18.757575757575754
malawi,musical_instruments,92,-18.563973063973066
eswatini,other,99,-18.345206971677563
armenia,miscellaneous_manufactured_articles,96,-18.171717171717173
burkina_faso,salt_sulphur_lime_cement_etc.,25,-17.811111111111106
burkina_faso,other,99,-17.639730639730644
armenia,food_residues_and_animal_feed,23,-17.601234567901237
ghana,arms_and_ammunition,93,-16.930976430976433
ghana,leather_and_skins,41,-16.24612794612794
tunisia,feathers_and_down,67,-15.990909090909089
laos,glass_and_glassware,70,-15.894276094276098
armenia,vehicles,87,-15.5976430976431
laos,headgear,65,-15.586868686868687
armenia,metal_tools_and_tableware,82,-15.317171717171714
burkina_faso,tobacco,24,-15.215488215488213
armenia,trains,86,-15.167003367003367
uzbekistan,photographic_or_cinematographic_goods,37,-15.052861952861948
bahrain,pharmaceutical_products,30,-14.850168350168357
