country,product,hs_code,rank_shifts
liberia,silk,50,-33.75
cuba,photographic_or_cinematographic_goods,37,-33.03939393939394
cuba,explosives,36,-31.503030303030304
tajikistan,photographic_or_cinematographic_goods,37,-28.98888888888889
rwanda,other_vegetable_textile_fibres,53,-26.657575757575756
cuba,other_vegetable_textile_fibres,53,-25.861616161616162
paraguay,umbrellas_and_walking-sticks,66,-25.50909090909091
cuba,trains,86,-25.463636363636365
kyrgyzstan,silk,50,-24.874747474747473
uruguay,silk,50,-24.704040404040406
republic_of_the_congo,ships,89,-24.672727272727272
botswana,other,99,-24.66830065359477
liberia,aircraft,88,-24.22929292929293
liberia,organic_chemicals,29,-24.106060606060606
cuba,headgear,65,-23.936363636363637
haiti,arms_and_ammunition,93,-23.718181818181815
botswana,lac_and_other_vegetable_extracts,13,-23.625816993464053
democratic_republic_of_the_congo,manufactues_of_plaiting_materials,46,-23.28994708994709
trinidad_and_tobago,aircraft,88,-23.24343434343434
sudan,explosives,36,-23.037373737373738
