country,product,hs_code,rank_shifts
liberia,silk,50,-37.75
botswana,other,99,-36.938235294117646
tajikistan,photographic_or_cinematographic_goods,37,-35.905050505050504
cuba,explosives,36,-35.81414141414141
cuba,photographic_or_cinematographic_goods,37,-35.31010101010101
rwanda,other_vegetable_textile_fibres,53,-33.03131313131313
chad,wadding_felt_and_nonwovens,56,-32.81818181818182
chad,food_residues_and_animal_feed,23,-32.773737373737376
liberia,aircraft,88,-31.596969696969694
liberia,organic_chemicals,29,-29.97979797979798
botswana,lac_and_other_vegetable_extracts,13,-29.76143790849673
cuba,other_vegetable_textile_fibres,53,-29.187878787878788
kyrgyzstan,silk,50,-28.84141414141414
mongolia,special_woven_fabrics,58,-28.806060606060605
liberia,art,97,-28.494949494949495
chad,plastics,39,-28.363636363636363
mongolia,albuminoidals_modified_starches_glues_enzymes,35,-27.98989898989899
cuba,miscellaneous_chemical_products,38,-27.774747474747475
iraq,trains,86,-27.67222222222222
democratic_republic_of_the_congo,manufactues_of_plaiting_materials,46,-27.021164021164022
