country,product,hs_code,rank_shifts
saint_barthélemy,arms_and_ammunition,93,-183.25
american_samoa,arms_and_ammunition,93,-159.51041666666666
nauru,umbrellas_and_walking-sticks,66,-155.0
saint_barthélemy,photographic_or_cinematographic_goods,37,-141.5
norfolk_island,special_woven_fabrics,58,-108.5
cocos_(keeling)_islands,sugar_and_candy,17,-100.16836734693878
vatican_city,preparations_of_meat_or_fish,16,-97.88518518518518
saint_helena_ascension_and_tristan_da_cunha,man-made_staple_fibres,55,-94.85879629629629
western_sahara,articles_of_stone_plaster_cement_etc.,68,-93.0
saint_barthélemy,food_residues_and_animal_feed,23,-75.91666666666666
tokelau,explosives,36,-67.5
french_southern_and_antarctic_lands,albuminoidals_modified_starches_glues_enzymes,35,-67.15384615384616
sao_tome_and_principe,leather_and_skins,41,-65.58284600389864
american_samoa,umbrellas_and_walking-sticks,66,-63.16666666666666
bouvet_island,diary_products,4,-59.75
south_georgia_and_south_sandwich_islds.,meat,2,-59.0
christmas_island,man-made_staple_fibres,55,-57.22727272727273
saint_barthélemy,other_made_up_textile_articles,63,-54.7
saint_helena_ascension_and_tristan_da_cunha,cotton,52,-54.689542483660134
french_southern_and_antarctic_lands,art,97,-52.78888888888889
