country,product,hs_code,rank_shifts
american_samoa,leather_and_skins,41,-124.5
palau,other_vegetable_materials,14,-109.39166666666667
tonga,furskins,43,-61.42857142857143
guam,arms_and_ammunition,93,-43.697916666666664
tuvalu,manufactues_of_plaiting_materials,46,-35.87301587301587
nauru,live_animals,1,-35.666666666666664
kiribati,wool,51,-35.5
djibouti,animal_or_vegetable_fats_oils_or_waxes,15,-34.405050505050504
marshall_islands,leather_and_skins,41,-33.57070707070707
greenland,other_made_up_textile_articles,63,-32.56262626262626
solomon_islands,other_vegetable_materials,14,-32.32888888888889
nauru,aircraft,88,-31.771527777777777
tuvalu,wadding_felt_and_nonwovens,56,-31.477083333333333
nauru,articles_of_stone_plaster_cement_etc.,68,-31.24126984126984
marshall_islands,art,97,-30.927777777777777
tuvalu,organic_chemicals,29,-30.82010582010582
san_marino,trains,86,-30.357142857142858
guam,pulp_of_wood,47,-30.03205128205128
greenland,musical_instruments,92,-30.0
tuvalu,ships,89,-29.796825396825394
