country,product,hs_code,rank_shifts
saint_barthélemy,arms_and_ammunition,93,-180.75
american_samoa,arms_and_ammunition,93,-156.93229166666669
nauru,umbrellas_and_walking-sticks,66,-153.0
saint_barthélemy,photographic_or_cinematographic_goods,37,-140.0
norfolk_island,special_woven_fabrics,58,-108.5
cocos_(keeling)_islands,sugar_and_candy,17,-98.68367346938776
vatican_city,preparations_of_meat_or_fish,16,-96.37407407407407
saint_helena_ascension_and_tristan_da_cunha,man-made_staple_fibres,55,-94.35185185185185
western_sahara,articles_of_stone_plaster_cement_etc.,68,-92.0
saint_barthélemy,food_residues_and_animal_feed,23,-74.75
french_southern_and_antarctic_lands,albuminoidals_modified_starches_glues_enzymes,35,-66.61538461538461
tokelau,explosives,36,-66.5
sao_tome_and_principe,leather_and_skins,41,-64.88109161793372
american_samoa,umbrellas_and_walking-sticks,66,-62.66666666666666
bouvet_island,diary_products,4,-58.75
south_georgia_and_south_sandwich_islds.,meat,2,-58.25
christmas_island,man-made_staple_fibres,55,-56.967171717171716
saint_helena_ascension_and_tristan_da_cunha,cotton,52,-54.189542483660134
saint_barthélemy,other_made_up_textile_articles,63,-54.0
french_southern_and_antarctic_lands,art,97,-52.34074074074074
