country,product,hs_code,rank_shifts
nauru,umbrellas_and_walking-sticks,66,-165.0
american_samoa,arms_and_ammunition,93,-156.4375
american_samoa,umbrellas_and_walking-sticks,66,-67.5
tuvalu,pulp_of_wood,47,-67.0
tuvalu,musical_instruments,92,-57.62244897959184
sao_tome_and_principe,leather_and_skins,41,-54.08187134502924
american_samoa,trains,86,-43.38194444444444
dominica,silk,50,-40.333333333333336
gibraltar,aircraft,88,-40.16111111111111
tonga,other_vegetable_materials,14,-38.96491228070175
british_virgin_islands,live_animals,1,-37.903703703703705
dominica,musical_instruments,92,-37.33737373737374
northern_mariana_islands,inorganic_chemicals,28,-36.84126984126984
turks_and_caicos_islands,pulp_of_wood,47,-36.666666666666664
sierra_leone,arms_and_ammunition,93,-36.52046783625731
gibraltar,umbrellas_and_walking-sticks,66,-36.51616161616161
nauru,albuminoidals_modified_starches_glues_enzymes,35,-35.52727272727273
aruba,lac_and_other_vegetable_extracts,13,-35.1949494949495
bhutan,other_vegetable_textile_fibres,53,-35.15909090909091
tonga,knitted_fabrics,60,-34.73888888888889
