country,product,hs_code,rank_shifts
saint_barthélemy,arms_and_ammunition,93,-231.0
saint_barthélemy,photographic_or_cinematographic_goods,37,-177.0
nauru,umbrellas_and_walking-sticks,66,-171.0
american_samoa,arms_and_ammunition,93,-169.9375
norfolk_island,special_woven_fabrics,58,-158.0
western_sahara,articles_of_stone_plaster_cement_etc.,68,-155.0
vatican_city,preparations_of_meat_or_fish,16,-143.2
cocos_(keeling)_islands,sugar_and_candy,17,-133.79591836734693
saint_helena_ascension_and_tristan_da_cunha,man-made_staple_fibres,55,-127.60956790123457
saint_barthélemy,food_residues_and_animal_feed,23,-106.5
sao_tome_and_principe,leather_and_skins,41,-103.43859649122807
heard_and_mcdonald_islands,rubber,40,-93.5
french_southern_and_antarctic_lands,albuminoidals_modified_starches_glues_enzymes,35,-92.61538461538461
south_georgia_and_south_sandwich_islds.,meat,2,-90.0
french_southern_and_antarctic_lands,art,97,-89.85925925925926
tokelau,explosives,36,-85.5
south_sudan,manufactues_of_plaiting_materials,46,-84.0
saint_barthélemy,other_made_up_textile_articles,63,-83.3
norfolk_island,art,97,-79.75816993464052
christmas_island,man-made_staple_fibres,55,-78.71212121212122
