country_id,name_short_en,rank_shifts
316,Arms and Ammunition,-43.697916666666664
262,Animal or Vegetable Fats,-34.405050505050504
584,Collectors' Art and Antiques,-30.927777777777777
531,Vegetable products,-28.18888888888889
798,Vehicles and Transport Equipment,-27.05757575757576
212,Collectors' Art and Antiques,-24.87070707070707
512,Collectors' Art and Antiques,-23.651515151515152
678,Animal or Vegetable Fats,-23.451515151515153
558,Special Classification provisions and Temporary Legislation,-20.7020202020202
531,Articles of Wood,-20.666666666666668
64,Articles of Base Metal,-20.350505050505053
44,Pulp of Wood,-20.294949494949496
659,Arms and Ammunition,-20.275757575757574
304,Animal or Vegetable Fats,-19.50909090909091
524,Animal or Vegetable Fats,-19.278787878787877
418,"Articles of Stone, Ceramics, Glass",-19.166666666666668
60,Products of the Chemical or Allied Industries,-19.093939393939394
262,Products of the Chemical or Allied Industries,-18.647474747474746
748,Special Classification provisions and Temporary Legislation,-18.266993464052288
418,Pulp of Wood,-18.028282828282826
