country,name_short_en,rank_shifts,1995_export_value,2022_export_value
guam,Arms and Ammunition (19),-46.04050925925925,0,0
djibouti,Animal or Vegetable Fats (3),-33.94107744107744,319172,281984868
bouvet_island,Miscellaneous Manufactured Articles (20),-33.114468864468876,0,0
tuvalu,Vehicles and Transport Equipment (17),-27.111784511784514,0,12257467
the_bahamas,Pulp of Wood (10),-23.552525252525253,877766,100052862
oman,Collectors' Art and Antiques (21),-22.95218855218855,42923,10189383
bhutan,Articles of Base Metal (15),-22.526936026936028,0,279284
bonaire,Collectors' Art and Antiques (21),-22.333333333333336,0,5360
bermuda,Products of the Chemical or Allied Industries (6),-22.094612794612797,34881035,21367257
sao_tome_and_principe,Animal or Vegetable Fats (3),-21.71279461279461,21682,6706286
maldives,Vehicles and Transport Equipment (17),-21.582828282828277,57681,341036514
timor-leste,Articles of Base Metal (15),-21.41671810699588,0,287635
nicaragua,Special Classification provisions and Temporary Legislation (22),-21.386868686868684,1881758,496670489
dominica,Collectors' Art and Antiques (21),-20.65892255892256,43592,60643
curaçao,Vehicles and Transport Equipment (17),-19.796296296296305,0,7722732
curaçao,Articles of Wood (9),-19.762962962962966,0,2077924
djibouti,Articles of Textiles (11),-19.738383838383836,5942052,12589601
saint_barthélemy,Articles of Base Metal (15),-19.71666666666667,0,72133
niue,"Articles of Stone, Ceramics, Glass (13)",-19.61649831649832,1881,619123
marshall_islands,Collectors' Art and Antiques (21),-19.538888888888888,0,117421
