country,name_short_en,rank_shifts,1995_export_value,2022_export_value
guam,Arms and Ammunition (19),-49.71180555555556,0,0
djibouti,Animal or Vegetable Fats (3),-29.28989898989899,319172,281984868
oman,Collectors' Art and Antiques (21),-22.352525252525254,42923,10189383
the_bahamas,Pulp of Wood (10),-20.93232323232323,877766,100052862
maldives,Vehicles and Transport Equipment (17),-20.4,57681,341036514
tuvalu,Vehicles and Transport Equipment (17),-20.392929292929296,0,12257467
nicaragua,Special Classification provisions and Temporary Legislation (22),-19.923232323232323,1881758,496670489
andorra,Collectors' Art and Antiques (21),-19.554545454545455,275653,32136552
libya,Vehicles and Transport Equipment (17),-18.379797979797978,4732221,50088061
nauru,Live Animals; Animal Products (1),-18.058585858585857,427545,126115283
ghana,Arms and Ammunition (19),-18.024242424242427,2540,3532971
tokelau,Vehicles and Transport Equipment (17),-17.97979797979798,34841,265786389
bhutan,Articles of Base Metal (15),-17.793939393939393,0,279284
djibouti,Arms and Ammunition (19),-17.025252525252526,0,6249248
djibouti,Articles of Textiles (11),-16.95858585858586,5942052,12589601
timor-leste,Articles of Base Metal (15),-16.77391975308642,0,287635
curaçao,Vehicles and Transport Equipment (17),-16.555555555555557,0,7722732
niue,"Articles of Stone, Ceramics, Glass (13)",-16.47373737373737,1881,619123
saint_barthélemy,Articles of Base Metal (15),-16.2,0,72133
cabo_verde,Vehicles and Transport Equipment (17),-16.151515151515152,678051,21548968
