country_id,name_short_en,rank_shifts
854,Special Classification provisions and Temporary Legislation,-28.585858585858585
748,Special Classification provisions and Temporary Legislation,-26.496405228758167
854,Mineral Products,-24.360606060606063
512,Collectors' Art and Antiques,-22.852525252525254
418,"Articles of Stone, Ceramics, Glass",-22.546464646464646
887,Machinery and Mechanical Appliances,-21.654545454545453
418,Pulp of Wood,-21.645454545454548
524,Animal or Vegetable Fats,-21.330303030303032
364,Collectors' Art and Antiques,-20.63131313131313
854,Products of the Chemical or Allied Industries,-20.59191919191919
51,Articles of Base Metal,-19.108080808080807
800,"Articles of Stone, Ceramics, Glass",-18.967676767676767
288,Arms and Ammunition,-18.848484848484848
288,Raw Hides and Skins,-16.66262626262626
324,Prepared Foodstuffs,-16.645454545454545
887,Pulp of Wood,-16.227272727272727
266,Animal or Vegetable Fats,-16.225252525252525
51,Vehicles and Transport Equipment,-16.15050505050505
887,Products of the Chemical or Allied Industries,-16.123232323232322
104,Special Classification provisions and Temporary Legislation,-16.06969696969697
