country,name_short_en,rank_shifts,1995_export_value,2022_export_value
guam,Arms and Ammunition (19),-43.697916666666664,0,0
djibouti,Animal or Vegetable Fats (3),-34.405050505050504,319172,281984868
marshall_islands,Collectors' Art and Antiques (21),-30.927777777777777,0,117421
curaçao,Vegetable products (2),-28.18888888888889,0,7703917
tuvalu,Vehicles and Transport Equipment (17),-27.05757575757576,0,12257467
dominica,Collectors' Art and Antiques (21),-24.87070707070707,43592,60643
oman,Collectors' Art and Antiques (21),-23.651515151515152,42923,10189383
sao_tome_and_principe,Animal or Vegetable Fats (3),-23.451515151515153,21682,6706286
nicaragua,Special Classification provisions and Temporary Legislation (22),-20.7020202020202,1881758,496670489
curaçao,Articles of Wood (9),-20.666666666666668,0,2077924
bhutan,Articles of Base Metal (15),-20.350505050505053,0,279284
the_bahamas,Pulp of Wood (10),-20.294949494949496,877766,100052862
saint_kitts_and_nevis,Arms and Ammunition (19),-20.275757575757574,6594,36224
greenland,Animal or Vegetable Fats (3),-19.50909090909091,0,322940
nepal,Animal or Vegetable Fats (3),-19.278787878787877,2229480,374349377
laos,"Articles of Stone, Ceramics, Glass (13)",-19.166666666666668,19064,70765557
bermuda,Products of the Chemical or Allied Industries (6),-19.093939393939394,34881035,21367257
djibouti,Products of the Chemical or Allied Industries (6),-18.647474747474746,2096395,87460501
eswatini,Special Classification provisions and Temporary Legislation (22),-18.266993464052288,0,287796356
laos,Pulp of Wood (10),-18.028282828282826,141072,683325042
