country,name_short_en,rank_shifts
guam,Arms and Ammunition (19),-43.697916666666664
djibouti,Animal or Vegetable Fats (3),-34.405050505050504
marshall_islands,Collectors' Art and Antiques (21),-30.927777777777777
curaçao,Vegetable products (2),-28.18888888888889
tuvalu,Vehicles and Transport Equipment (17),-27.05757575757576
dominica,Collectors' Art and Antiques (21),-24.87070707070707
oman,Collectors' Art and Antiques (21),-23.651515151515152
sao_tome_and_principe,Animal or Vegetable Fats (3),-23.451515151515153
nicaragua,Special Classification provisions and Temporary Legislation (22),-20.7020202020202
curaçao,Articles of Wood (9),-20.666666666666668
bhutan,Articles of Base Metal (15),-20.350505050505053
the_bahamas,Pulp of Wood (10),-20.294949494949496
saint_kitts_and_nevis,Arms and Ammunition (19),-20.275757575757574
greenland,Animal or Vegetable Fats (3),-19.50909090909091
nepal,Animal or Vegetable Fats (3),-19.278787878787877
laos,"Articles of Stone, Ceramics, Glass (13)",-19.166666666666668
bermuda,Products of the Chemical or Allied Industries (6),-19.093939393939394
djibouti,Products of the Chemical or Allied Industries (6),-18.647474747474746
eswatini,Special Classification provisions and Temporary Legislation (22),-18.266993464052288
laos,Pulp of Wood (10),-18.028282828282826
