country_id,name_short_en,rank_shifts
74,Miscellaneous Manufactured Articles,-94.14010989010988
535,Collectors' Art and Antiques,-61.95
239,Miscellaneous Manufactured Articles,-48.51633986928105
316,Arms and Ammunition,-44.71180555555556
732,Animal or Vegetable Fats,-43.4
570,"Articles of Stone, Ceramics, Glass",-41.935353535353535
652,Articles of Base Metal,-41.6
876,"Optical Instruments, Clocks, Musical Instruments",-39.445454545454545
334,Products of the Chemical or Allied Industries,-38.37103174603175
732,Pulp of Wood,-38.33809523809524
262,Animal or Vegetable Fats,-38.12828282828283
876,Articles of Base Metal,-36.47373737373738
612,Pulp of Wood,-36.46666666666666
239,Machinery and Mechanical Appliances,-34.11830065359477
798,Vehicles and Transport Equipment,-33.88484848484848
74,"Optical Instruments, Clocks, Musical Instruments",-33.68518518518518
434,Vehicles and Transport Equipment,-33.52222222222222
534,Machinery and Mechanical Appliances,-33.022222222222226
60,Products of the Chemical or Allied Industries,-32.522222222222226
626,Articles of Base Metal,-32.512191358024694
