country_id,eci_ranking_shift
862,58
72,53
434,51
762,51
36,51
31,45
716,42
4,42
268,41
430,39
178,39
192,37
400,36
516,35
148,34
496,32
76,31
368,30
578,28
417,28
32,24
398,23
894,23
68,22
643,22
646,21
558,20
780,20
332,20
498,19
124,18
152,17
414,16
604,15
858,15
729,15
508,14
562,14
600,14
554,14
56,14
724,14
208,13
591,12
250,12
120,11
804,10
246,9
180,7
752,7
807,6
380,6
528,5
450,5
191,5
404,5
320,4
616,4
840,4
276,3
40,3
682,2
768,2
12,2
428,1
826,0
392,0
705,0
703,0
566,0
112,-1
620,-1
376,-1
340,-1
384,-2
756,-2
196,-2
484,-2
222,-3
170,-3
466,-4
478,-4
598,-4
218,-5
300,-5
203,-5
710,-5
372,-6
795,-6
642,-6
233,-6
344,-7
818,-7
348,-7
440,-8
158,-9
748,-9
226,-9
266,-9
834,-9
504,-10
512,-10
100,-11
8,-12
70,-12
360,-12
887,-13
854,-15
51,-15
50,-15
792,-16
422,-17
860,-17
356,-18
784,-18
231,-19
324,-19
586,-21
188,-21
410,-21
800,-21
686,-23
104,-24
788,-24
454,-24
702,-24
156,-25
144,-26
480,-26
458,-27
634,-28
764,-30
688,-30
524,-31
418,-32
388,-35
204,-35
214,-39
364,-43
24,-47
288,-48
116,-48
48,-49
608,-64
704,-72
